,dap,target,error,class
541,80412,79646.331,-765.6689999999944,1
542,80220,79846.826,-373.17399999999907,1
543,80642,80077.266,-564.7339999999967,1
544,81267,81064.203,-202.79700000000594,1
545,82719,81894.748,-824.2519999999931,1
546,83582,82481.487,-1100.5130000000063,1
547,84045,82983.045,-1061.9550000000017,1
548,83971,84300.204,329.2039999999979,1
549,82070,81576.1,-493.8999999999942,1
550,77367,76632.909,-734.0910000000003,1
551,72519,71581.079,-937.9210000000021,1
552,68152,67392.731,-759.2690000000002,1
553,65598,64895.505,-702.4950000000026,1
554,64289,63679.164,-609.836000000003,1
555,63695,63068.415,-626.5849999999991,1
556,64778,64150.059,-627.9409999999989,1
557,67716,67496.882,-219.1180000000022,1
558,73937,73529.56,-407.4400000000023,1
559,78331,77476.561,-854.4389999999985,1
560,81534,79434.051,-2099.9489999999932,0
561,81565,80220.516,-1344.4839999999967,1
562,81750,80793.665,-956.3350000000064,1
563,82307,80959.652,-1347.3479999999981,1
564,82399,81668.527,-730.4729999999981,1
565,83175,82328.805,-846.195000000007,1
566,83880,82882.724,-997.275999999998,1
567,84196,83557.769,-638.2309999999998,1
568,85276,84351.635,-924.3650000000052,1
569,85891,84882.231,-1008.7690000000002,1
570,85516,84947.507,-568.4930000000022,1
571,85395,85030.925,-364.0749999999971,1
572,88458,85881.815,-2576.1849999999977,0
573,84587,82791.403,-1795.5969999999943,0
574,78243,77554.612,-688.3880000000063,1
575,73205,72261.681,-943.3190000000031,1
576,68713,67827.445,-885.554999999993,1
577,65821,65102.056,-718.9440000000031,1
578,64225,63563.442,-661.5579999999973,1
579,63631,62911.573,-719.4270000000033,1
580,64562,64051.738,-510.26200000000244,1
581,67939,67183.742,-755.2580000000016,1
582,74121,72867.197,-1253.8029999999999,1
583,78445,76847.146,-1597.8540000000066,1
584,79585,78524.074,-1060.9260000000068,1
585,80444,79048.535,-1395.4649999999965,1
586,81193,79693.101,-1499.899000000005,1
587,81730,79988.779,-1741.221000000005,0
588,81357,80524.815,-832.1849999999977,1
589,82019,80899.256,-1119.744000000006,1
590,82448,80874.083,-1573.9170000000013,1
591,82759,80869.978,-1889.0219999999972,0
592,83476,80848.737,-2627.2630000000063,0
593,84237,81557.278,-2679.7219999999943,0
594,83161,81335.942,-1825.0580000000045,0
595,84568,81721.011,-2846.9890000000014,0
596,84988,82648.473,-2339.527000000002,0
597,80943,79712.755,-1230.2449999999953,1
598,76123,75097.572,-1025.4279999999999,1
599,71384,70293.527,-1090.4729999999981,1
600,67211,66521.256,-689.744000000006,1
601,64732,64133.264,-598.7359999999971,1
602,63447,62802.459,-644.5409999999974,1
603,62804,62284.087,-519.9130000000005,1
604,63662,63220.635,-441.36499999999796,1
605,66890,66542.869,-347.13099999999395,1
606,72497,71891.738,-605.2620000000024,1
607,77451,76455.018,-995.9820000000036,1
608,79535,78752.99,-782.0099999999948,1
609,80582,79922.166,-659.8340000000026,1
610,81314,80553.011,-760.9890000000014,1
611,81408,81119.638,-288.3619999999937,1
612,81348,81357.607,9.607000000003609,1
613,82145,81697.99,-447.00999999999476,1
614,82182,81386.336,-795.6640000000043,1
615,81466,80661.802,-804.198000000004,1
616,81184,80556.374,-627.6260000000038,1
617,81112,80558.442,-553.5580000000045,1
618,80473,80068.926,-404.07399999999325,1
619,80628,80083.456,-544.5439999999944,1
620,81283,80113.876,-1169.1239999999962,1
621,78741,77945.536,-795.4640000000072,1
622,74486,73735.098,-750.9020000000019,1
623,70456,69511.22,-944.7799999999988,1
624,66367,65742.508,-624.4919999999984,1
625,63993,63227.343,-765.6569999999992,1
626,62446,61728.173,-717.8269999999975,1
627,61530,60923.165,-606.8349999999991,1
628,61832,61150.046,-681.9539999999979,1
629,62999,62282.234,-716.7660000000033,1
630,65193,64696.197,-496.8029999999999,1
631,68421,66827.278,-1593.7219999999943,1
632,70874,69821.672,-1052.327999999994,1
633,72482,71754.776,-727.224000000002,1
634,73447,72896.664,-550.3359999999957,1
635,73786,72955.726,-830.2740000000049,1
636,73518,72970.549,-547.4510000000009,1
637,73279,72602.284,-676.7160000000003,1
638,73228,72585.925,-642.0749999999971,1
639,73554,73021.187,-532.8129999999946,1
640,74545,73866.112,-678.8880000000063,1
641,75508,74897.728,-610.2719999999972,1
642,76117,75339.641,-777.3589999999967,1
643,76332,76072.293,-259.7069999999949,1
644,78003,76946.276,-1056.724000000002,1
645,75592,74879.718,-712.2820000000065,1
646,72525,71425.354,-1099.6459999999934,1
647,68554,67531.312,-1022.6879999999946,1
648,64743,64047.797,-695.2030000000013,1
649,62494,61670.469,-823.5310000000027,1
650,60838,60208.878,-629.122000000003,1
651,60128,59425.792,-702.2079999999987,1
652,59875,59273.571,-601.4289999999964,1
653,60740,59919.215,-820.7850000000035,1
654,62224,61524.131,-699.8689999999988,1
655,64338,63107.067,-1230.9329999999973,1
656,67074,66256.697,-817.3029999999999,1
657,69770,68928.304,-841.6959999999963,1
658,71533,71000.515,-532.4850000000006,1
659,72935,71926.475,-1008.5249999999942,1
660,73193,72704.986,-488.0139999999956,1
661,73424,72984.594,-439.4060000000027,1
662,73681,73045.238,-635.7620000000024,1
663,74083,73605.929,-477.0709999999963,1
